id,level,type,category,prompt,model_answer,reference_answer,key_points,scientific_accuracy_0_5,completeness_0_5,clarity_0_5,terminology_0_5,relevance_0_5,total_score_0_25,errors_and_notes
poly_001,basic,definition,polymer_basics,پلیمر چیست؟,"پلیمرها، به طور کلی، پلیمرها نامیده می‌شوند. این مواد از طریق فرآیندی به نام پلیمرسازی، از مونومرها (واحد‌های تکرار شونده) تشکیل شده‌اند. به عبارت ساده‌تر، مونومرها با هم ترکیب می‌شوند و زنجیره‌های بلند و پیچیده‌ای را تشکیل می‌دهند که به عنوان پلیمر شناخته می‌شوند.

پلیمرها می‌توانند به دو دسته اصلی تقسیم شوند:

*   **پلیمرهای طبیعی:** مانند ژلاتین، سلولز و پروتئین‌ها که در طبیعت یافت می‌شوند.
*   **پلیمرهای مصنوعی:** که از طریق فرآیندهای شیمیایی تولید می‌شوند، مانند پلی‌اتیلن (پلاستیک‌های رایج مانند بطری‌ها و کیسه‌های پلاستیکی) و پلی‌وینیل کلراید (PVC).

ویژگی‌های پلیمرها به شدت به نوع مونومر و نحوه پلیمرسازی بستگی دارد. این ویژگی‌ها می‌توانند شامل انعطاف‌پذیری، استحکام، مقاومت در برابر حرارت و مواد شیمیایی و غیره باشند.

در مهندسی پلیمر، هدف اصلی، طراحی و تولید پلیمرهایی با خواص مطلوب برای کاربردهای خاص است. این شامل انتخاب مونومر مناسب، کنترل فرآیند پلیمرسازی و اصلاح پلیمرهای موجود با افزودن مواد دیگر (مانند تقویت‌کننده‌ها) می‌شود.",پلیمر یک درشت‌مولکول است که از تعداد زیادی واحد تکرارشونده تشکیل شده است. این واحدها معمولاً از اتصال مولکول‌های کوچک‌تری به نام مونومر طی فرایند پلیمریزاسیون ایجاد می‌شوند. پلیمرها می‌توانند طبیعی، مانند سلولز و پروتئین‌ها، یا مصنوعی، مانند پلی‌اتیلن و نایلون، باشند.,درشت‌مولکول | واحد تکرارشونده | مونومر | پلیمریزاسیون,3,4,3,3,3,16,تعریف کلی قابل قبول است، اما «درشت‌مولکول» را صریح بیان نکرده، مونومر را با واحد تکرارشونده یکی گرفته، «پلیمرسازی» به‌جای پلیمریزاسیون آمده و پاسخ اضافه‌گویی دارد.
poly_002,basic,definition,polymer_basics,مونومر چیست و چه ارتباطی با پلیمر دارد؟,"مونومر، واحد سازنده اصلی پلیمر است. به بیان ساده، مونومر یک مولکول کوچک و تکرارپذیر است که از طریق یک فرآیند شیمیایی به هم متصل می‌شوند تا زنجیره‌های بلند و پیچیده پلیمر را تشکیل دهند. 

به عنوان مثال، پلی‌اتیلن (پلاستیک رایج) از مونومر اتیلن ساخته می‌شود. در این فرآیند، مولکول‌های اتیلن به صورت تصادفی به هم متصل شده و زنجیره‌های بلند پلی‌اتیلن را ایجاد می‌کنند.

ارتباط اصلی بین مونومر و پلیمر در این است که تعداد زیادی مونومر با هم ترکیب می‌شوند تا یک پلیمر را تشکیل دهند. نوع مونومر و نحوه اتصال آن‌ها، خواص فیزیکی و شیمیایی پلیمر نهایی را تعیین می‌کند. 

مثال‌های دیگر مونومر عبارتند از وینیل (برای پلی وینیل کلراید)، استایرن (برای پلی‌استایرن) و پروپیلن (برای پلی‌پروپیلن).",مونومر مولکول نسبتاً کوچکی است که قابلیت شرکت در واکنش پلیمریزاسیون و تشکیل زنجیر یا شبکه پلیمری را دارد. برای مثال، اتیلن مونومر تولید پلی‌اتیلن و استایرن مونومر تولید پلی‌استایرن است. مونومر و واحد تکرارشونده همیشه دقیقاً یک ساختار یکسان ندارند.,مولکول کوچک | قابلیت پلیمریزاسیون | مثال اتیلن و استایرن | تفاوت با واحد تکرارشونده,4,4,4,3,4,19,ارتباط مونومر و پلیمر درست بیان شده است؛ بااین‌حال مونومر لزوماً «واحد تکرارشونده» نیست و مثال «وینیل برای PVC» باید وینیل‌کلراید باشد.
poly_003,basic,example,polymer_basics,یک مثال از پلیمر طبیعی و یک مثال از پلیمر مصنوعی بزن.,"**پلیمر طبیعی:** ژلاتین یک مثال رایج است. ژلاتین از پروتئین‌های موجود در پوست، استخوان و بافت‌های حیوانی (مانند خوک، ماهی یا گاو) به دست می‌آید. این پروتئین‌ها در حضور آب، زنجیره‌های بلند و پیچیده‌ای تشکیل می‌دهند که به عنوان پلیمر عمل می‌کنند. ژلاتین به دلیل قابلیت انعقاد و تشکیل شبکه‌های سه بعدی، در صنایع غذایی، دارویی و آرایشی-بهداشتی کاربرد دارد.

**پلیمر مصنوعی:** پلی‌استرهای مختلفی وجود دارند که از جمله آن‌ها می‌توان به پلی‌اتیلن ترفتالات (PET) اشاره کرد. PET یک پلیمر مصنوعی بسیار مقاوم و بادوام است که عمدتاً در تولید بطری‌های نوشیدنی، بسته‌بندی مواد غذایی و پارچه‌های مصنوعی استفاده می‌شود. PET از طریق واکنش‌های شیمیایی بین مونومرهای اتيلن و ترفتالات تولید می‌شود و خواص مکانیکی و حرارتی خوبی دارد.

تفاوت اصلی بین پلیمرهای طبیعی و مصنوعی در منبع و روش تولید آن‌هاست. پلیمرهای طبیعی از منابع طبیعی به دست می‌آیند و معمولاً ساختار پیچیده‌تری دارند، در حالی که پلیمرهای مصنوعی از طریق فرآیندهای شیمیایی تولید می‌شوند و می‌توانند خواص مورد نظر را با طراحی دقیق زنجیره‌های پلیمری به دست آورند.",یک پلیمر طبیعی، سلولز است که در ساختار گیاهان وجود دارد. یک پلیمر مصنوعی نیز پلی‌اتیلن است که در تولید فیلم، کیسه، لوله و برخی ظروف استفاده می‌شود.,سلولز | پلی‌اتیلن | طبیعی | مصنوعی,4,5,4,3,4,20,هر دو مثال معتبرند، اما توضیح سنتز PET نادقیق است؛ PET از اتیلن‌گلیکول و ترفتالیک‌اسید یا مشتق آن تولید می‌شود، نه «اتیلن و ترفتالات».
poly_004,basic,explanation,thermal_behavior,چرا پلیمرها معمولاً دمای جوش مشخصی ندارند؟,"پلیمرها به طور کلی دمای جوش مشخصی ندارند، بلکه یک محدوده دمایی از تبخیر و تغییر فاز را نشان می‌دهند. این موضوع به دلیل ساختار مولکولی خاص آن‌هاست.

پلیمرها از واحدهای تکراری (چیدمان‌های مکرر) تشکیل شده‌اند که با زنجیره‌های بلند و پیچ‌خورده به هم متصل شده‌اند. این زنجیره‌ها به دلیل نیروهای ضعیف بین‌مولکولی (مانند نیروهای فان‌دوالس-کراب) به یکدیگر متصل شده و حرکت آزادانه ندارند.

برای تبخیر یک ماده، مولکول‌ها باید انرژی لازم برای غلبه بر این نیروهای ضعیف و جدا شدن از زنجیره‌ها را کسب کنند. در پلیمرها، این فرآیند به دلیل پیچیدگی زنجیره‌ها و وجود تعداد زیادی گروه متصل‌شونده، به انرژی قابل توجهی نیاز دارد.

بنابراین، به جای تبخیر یکباره، پلیمر به صورت تدریجی و در یک محدوده دمایی تبخیر می‌شود. این فرآیند معمولاً شامل شکستن زنجیره‌های کوچک و تشکیل مونومرها (واحد‌های تکراری) می‌شود که سپس به صورت گاز به هوا می‌روند.

دمای جوش دقیقاً تعریف نمی‌شود، بلکه یک دمای تبخیر است که با افزایش فشار و کاهش حجم، تغییر می‌کند.",پلیمرها معمولاً دمای جوش مشخص و قابل‌اندازه‌گیری ندارند، زیرا جرم مولکولی بسیار زیاد و فشار بخار بسیار پایینی دارند. برای تبدیل یک زنجیر پلیمری بزرگ به بخار انرژی بسیار زیادی لازم است؛ بنابراین بیشتر پلیمرها پیش از رسیدن به حالت بخار، در اثر گرما تخریب شیمیایی می‌شوند.,جرم مولکولی بالا | فشار بخار پایین | تخریب پیش از تبخیر | نداشتن نقطه جوش عملی,2,3,3,2,4,14,به تخریب زنجیر اشاره کرده است، اما دلیل اصلی یعنی جرم مولکولی بسیار بالا و فشار بخار بسیار پایین را درست توضیح نداده و «تبخیر تدریجی پلیمر» بیان دقیقی نیست.
poly_005,basic,definition,morphology,پلیمر آمورف چیست؟,"پلیمر آمورف، پلیمرهایی هستند که ساختارشان تصادفی و نامنظم است. برخلاف پلیمرهای کریستالی که دارای ساختار تکرار شونده و منظم هستند، زنجیره‌های پلیمری در پلیمرهای آمورف به صورت تصادفی با هم درهم تنیده شده‌اند. این نامنظمی باعث می‌شود که این پلیمرها خواص فیزیکی و شیمیایی غیرقابل پیش‌بینی‌تری داشته باشند.

**ویژگی‌های اصلی پلیمرهای آمورف:**

*   **عدم وجود ساختار بلندمدت:** زنجیره‌های پلیمری به صورت تصادفی حرکت می‌کنند و هیچ ترتیب خاصی ندارند.
*   **چگالی بالا:** به دلیل عدم وجود ساختار منظم، پلیمرهای آمورف چگالی بالایی دارند.
*   **انصاف‌پذیری:** پلیمرهای آمورف معمولاً صاف و بدون خمیدگی هستند.
*   **انحلال‌پذیری:** به دلیل نامنظمی ساختار، پلیمرهای آمورف در حلال‌های مناسب قابل حل هستند.

**مثال‌ها:** پلاستیک‌های رایجی مانند پلی‌اتیلن (PE)، پلی‌وینیل کلراید (PVC) و پلی‌استر (PET) از نوع آمورف هستند.

به طور خلاصه، پلیمر آمورف به دلیل ساختار نامنظم خود، خواص منحصر به فردی دارد که آن را برای کاربردهای مختلف مناسب می‌سازد.",پلیمر آمورف پلیمری است که زنجیرهای آن نظم بلندبرد و آرایش بلوری مشخصی ندارند. چنین پلیمرهایی معمولاً دمای ذوب مشخص ندارند و با عبور از دمای انتقال شیشه‌ای Tg به‌تدریج نرم‌تر می‌شوند. پلی‌استایرن آتاکتیک و پلی‌متیل‌متاکریلات نمونه‌هایی از پلیمرهای عمدتاً آمورف هستند.,نبود نظم بلندبرد | Tg | نداشتن Tm مشخص | مثال مناسب,1,2,3,2,4,12,تعریف بی‌نظمی درست است، اما چگالی بالا، عبارت نامفهوم درباره صاف‌بودن، و مثال‌های PE و PET به‌عنوان پلیمرهای آمورف نادرست‌اند؛ نقش Tg و نبود Tm مشخص نیز جا افتاده است.
poly_006,basic,definition,morphology,پلیمر بلوری یا نیمه‌بلوری چیست؟,"پلیمر بلوری (Amorphous Polymer) و نیمه‌بلوری (Semi-crystalline Polymer) دو دسته مهم از پلیمرها هستند که بر اساس ساختار آن‌ها از هم متمایز می‌شوند.

**پلیمر بلوری:** این نوع پلیمرها ساختار کریستالی ندارند و به صورت نامنظم و تصادفی چیده شده‌اند. این نامنظمی باعث افزایش چگالی انرژی و کاهش دمای ذوب آن‌ها می‌شود. پلیمرهای بلوری معمولاً در شکل‌های شفاف و بدون ساختار مشخص وجود دارند. مثال‌هایی از این پلیمرها شامل پلی‌استرها (مانند PET)، پلی‌وینیل کلراید (PVC) و پلی‌اتیلن ترفتالات (PET) هستند.

**پلیمر نیمه‌بلوری:** این پلیمرها ترکیبی از مناطق بلوری و کریستالی هستند. در این پلیمرها، بخش‌هایی از زنجیره‌های پلیمری به صورت بلوری چیده شده‌اند و بخش‌های دیگر نامنظم هستند. این ساختار باعث می‌شود پلیمرها خواص متفاوتی داشته باشند، از جمله افزایش استحکام و مقاومت در برابر کشیدگی در مقایسه با پلیمرهای بلوری. پلی‌یورتان و پلی‌کربonato از جمله پلیمرهای نیمه‌بلوری هستند.

تفاوت اصلی بین این دو نوع پلیمر در ساختار آن‌هاست که بر خواص فیزیکی و شیمیایی آن‌ها تأثیر می‌گذارد.",در پلیمرهای نیمه‌بلوری، بخشی از زنجیرها در نواحی منظم و بلوری آرایش یافته‌اند و بخش دیگر آمورف است. به دلیل طول زیاد، درهم‌تنیدگی و نقص‌های ساختاری، بیشتر پلیمرها کاملاً بلوری نیستند. پلی‌اتیلن و پلی‌پروپیلن ایزوتاکتیک نمونه‌هایی از پلیمرهای نیمه‌بلوری هستند و علاوه بر Tg دارای دمای ذوب Tm نیز هستند.,نواحی بلوری و آمورف | نیمه‌بلوری بودن | Tg و Tm | مثال مناسب,1,2,2,1,3,9,پلیمر بلوری را با آمورف اشتباه گرفته، نام انگلیسی را غلط آورده و مثال‌ها نیز عمدتاً نادرست‌اند. تنها ایده وجود بخش‌های منظم و نامنظم در نیمه‌بلوری تا حدی درست است.
poly_007,basic,definition,polymer_structure,اتصال عرضی در پلیمر چیست؟,"اتصال عرضی (Crosslinking) در پلیمر به فرآیندی اطلاق می‌شود که در آن زنجیره‌های متعدد پلیمر به طور شیمیایی یا فیزیکی به یکدیگر متصل می‌شوند. این اتصال، شبکه‌ای سه بعدی ایجاد می‌کند که خواص فیزیکی و مکانیکی پلیمر را به طور قابل توجهی تغییر می‌دهد.

**انواع اتصال عرضی:**

*   **اتصال عرضی شیمیایی:** در این نوع، گروه‌های شیمیایی خاص (مانند گروه‌های کربوکسیل، آمین، یا هیدروکسیل) در زنجیره‌های پلیمر با یکدیگر واکنش می‌دهند و پیوندهای کووالانسی تشکیل می‌دهند. این نوع اتصال عرضی معمولاً پایدارتر است.
*   **اتصال عرضی فیزیکی:** در این نوع، زنجیره‌های پلیمر از طریق نیروهای ضعیف مانند نیروهای فانایی (Van der Waals forces) یا پیوندهای هیدروژنی به یکدیگر متصل می‌شوند. این نوع اتصال عرضی معمولاً قابل بازگشت است و با دما یا رطوبت کاهش می‌یابد.

**اثرات اتصال عرضی:**

*   افزایش استحکام و مقاومت در برابر کشش
*   افزایش سختی و انعطاف پذیری
*   بهبود پایداری حرارتی و شیمیایی
*   تغییر در خواص ویسکوالاستیک (viscoelastic)

**مثال‌ها:**

*   رسپین (Resin) های اپوکسی و پلی‌یورتان، به دلیل اتصال عرضی شیمیایی، مقاومت بالایی در برابر مواد شیمیایی و حرارت دارند.
*   لاستیک طبیعی، از طریق اتصال عرضی فیزیکی بین زنجیره‌های پلیمر طبیعی، خواص الاستیک و انعطاف پذیری دارد.

امیدوارم این توضیح مختصر و مفید باشد.",اتصال عرضی پیوندی است که دو یا چند زنجیر پلیمری را به یکدیگر متصل می‌کند و ساختاری شبکه‌ای به وجود می‌آورد. افزایش اتصال عرضی معمولاً حرکت زنجیرها، انحلال‌پذیری و قابلیت جریان را کاهش می‌دهد و می‌تواند مدول، پایداری ابعادی و مقاومت حرارتی را افزایش دهد.,اتصال زنجیرها | ساختار شبکه‌ای | کاهش تحرک | تغییر خواص,3,4,4,3,4,18,تعریف شبکه سه‌بعدی مناسب است، اما افزایش اتصال عرضی معمولاً انعطاف‌پذیری را کم می‌کند و لاستیک طبیعی عمدتاً با اتصالات شیمیایی ولکانیزه می‌شود، نه اتصال فیزیکی.
poly_008,basic,comparison,thermal_behavior,تفاوت کلی پلیمرهای ترموپلاستیک و ترموست چیست؟,"تفاوت اصلی پلیمرهای ترموپلاستیک و ترموست بین نحوه واکنش به دما و فرآیند بازیافت آن‌ها نهفته است.

**ترموپلاستیک‌ها:** این پلیمرها هنگام گرم شدن، نرم و انعطاف‌پذیر می‌شوند و با سرد شدن مجدداً سفت می‌شوند. این ویژگی به دلیل وجود پیوندهای کووالانسی نسبتاً ضعیفی بین زنجیره‌های پلیمری است که در دماهای بالا شکسته و دوباره تشکیل می‌شوند.  این فرآیند یک‌باره (irreversible) است.  مثال‌ها شامل پلی‌اتیلن (PE)، پلی‌وی‌نیل کلراید (PVC)، و پلی‌استر هستند. ترموپلاستیک‌ها معمولاً قابل بازیافت هستند، زیرا می‌توانند ذوب و دوباره شکل داده شوند.

**ترموست‌ها:** در مقابل، ترموست‌ها هنگام گرم شدن، به طور دائم ذوب شده و به حالت مایع تبدیل می‌شوند و پس از سرد شدن، به حالت جامد بازمی‌گردند. این تغییر حالت برگشت‌پذیر (reversible) است.  این ویژگی به دلیل وجود پیوندهای دی‌اته‌ای (C-C) قوی در زنجیره‌های پلیمری است که نیاز به انرژی زیادی برای شکستن دارند.  مثال‌ها شامل اپوکسی و پلی‌یورئتان هستند. ترموست‌ها معمولاً قابل بازیافت نیستند، زیرا فرآیند بازیافت آن‌ها پیچیده‌تر و پرهزینه‌تر است.

به طور خلاصه، ترموپلاستیک‌ها در اثر حرارت نرم می‌شوند و ترموست‌ها به طور دائم ذوب می‌شوند.",ترموپلاستیک‌ها معمولاً از زنجیرهای خطی یا شاخه‌دار تشکیل شده‌اند و با گرم شدن نرم یا ذوب می‌شوند؛ بنابراین می‌توان آن‌ها را چند بار شکل‌دهی کرد. ترموست‌ها دارای شبکه سه‌بعدی از اتصالات عرضی دائمی هستند و پس از پخت دوباره ذوب و جاری نمی‌شوند؛ در گرمای زیاد نیز به‌جای ذوب شدن تخریب می‌شوند.,خطی یا شاخه‌دار | نرم شدن ترموپلاستیک | شبکه سه‌بعدی ترموست | تخریب به‌جای ذوب,1,3,3,2,4,13,بخش ترموپلاستیک تا حدی درست است، اما شکست و تشکیل مجدد پیوندهای کووالانسی، برگشت‌ناپذیر دانستن آن و ذوب برگشت‌پذیر ترموست کاملاً نادرست است.
poly_009,basic,comparison,polymer_structure,تفاوت هموپلیمر و کوپلیمر چیست؟,"هموپلیمر و کوپلیمر دو نوع پلیمر هستند که تفاوت اساسی در ساختار آن‌ها وجود دارد.

**هموپلیمر:** پلیمرهایی هستند که از یک نوع مونومر (واحد تکرار شونده) تشکیل شده‌اند. به عبارت دیگر، زنجیره پلیمری از یک نوع مونومر به صورت یکپارچه ساخته شده است. مثال‌های رایج شامل پلی‌اتیلن (PE) و پلی‌وینیل کلراید (PVC) هستند.

**کوپلیمر:** پلیمرهایی هستند که از دو یا چند نوع مونومر در یک زنجیره پلیمری ترکیب شده‌اند. این مونومرها می‌توانند به صورت تصادفی یا با الگوهای منظم در زنجیره قرار گیرند. مثال‌های کوپلیمر عبارتند از پلی‌استر (مانند پلی‌استر نایلون) و پلی‌یورتان.

**تفاوت کلیدی:** در هموپلیمر، مونومرها به صورت یکسان و پی‌درپی تکرار می‌شوند، در حالی که در کوپلیمر، مونومرها به صورت متناوب یا با الگوهای پیچیده‌تر تکرار می‌شوند. این تفاوت در ساختار، خواص فیزیکی و شیمیایی پلیمر را به طور قابل توجهی تحت تأثیر قرار می‌دهد.",هموپلیمر از یک نوع مونومر ساخته می‌شود، مانند پلی‌اتیلن که از اتیلن تولید می‌شود. کوپلیمر از دو یا چند نوع مونومر متفاوت ساخته می‌شود. کوپلیمرها بر اساس نحوه توزیع واحدها می‌توانند تصادفی، متناوب، بلوکی یا پیوندی باشند.,یک نوع مونومر | دو یا چند مونومر | هموپلیمر | انواع کوپلیمر,4,4,4,3,5,20,تفاوت اصلی درست است؛ بااین‌حال مونومر و واحد تکرارشونده یکی نیستند و مثال‌هایی مانند «پلی‌استر نایلون» دقیق نیستند. انواع بلوکی و پیوندی نیز ذکر نشده‌اند.
poly_010,basic,definition,polymerization,پلیمریزاسیون چیست؟,"پلیمریزاسیون فرآیندی است که در آن مونومرها (واحد‌های تکرار شونده کوچک) با استفاده از واکنش‌های شیمیایی، به پلیمر (یک زنجیره بلند از مونومرها) تبدیل می‌شوند. این واکنش معمولاً شامل اتصال مونومرها به یکدیگر از طریق پیوندهای شیمیایی است.

دو نوع اصلی پلیمریزاسیون وجود دارد:

*   **پلیمریزاسیون افزایشی:** در این روش، مونومرها به صورت مرحله‌ای به زنجیره در حال رشد اضافه می‌شوند. این فرآیند معمولاً با استفاده از کاتالیزور انجام می‌شود.
*   **پلیمریزاسیون حلقه‌ای:** در این روش، مونومرها در حلقه‌های کوچک تجمع می‌یابند و سپس به صورت تدریجی به زنجیره‌های بلندتر متصل می‌شوند.

انواع مختلفی از پلیمریزاسیون وجود دارد که بسته به نوع مونومر و شرایط واکنش، متفاوت هستند.  به عنوان مثال، پلیمریزاسیون اضافه (Addition Polymerization) و پلیمریزاسیون ترتیب‌دار (Coordination Polymerization) از جمله این انواع هستند.

پلیمرها در مواد مختلفی مانند پلاستیک‌ها، لاستیک‌ها و فیبرهای مصنوعی کاربرد دارند.  ساختار و خواص پلیمر به نوع مونومر و نحوه پلیمریزاسیون بستگی دارد.",پلیمریزاسیون فرایند شیمیایی تبدیل مونومرها به مولکول‌های پلیمری با جرم مولکولی بالا است. این فرایند می‌تواند از مسیرهای مختلفی مانند پلیمریزاسیون زنجیره‌ای یا مرحله‌ای انجام شود و شرایط واکنش بر جرم مولکولی، ساختار و خواص پلیمر اثر می‌گذارد.,فرایند شیمیایی | تبدیل مونومر به پلیمر | زنجیره‌ای و مرحله‌ای | اثر شرایط واکنش,3,3,4,2,4,16,تعریف کلی درست است، اما طبقه‌بندی پلیمریزاسیون نادرست و ناقص است؛ باید زنجیره‌ای و مرحله‌ای بیان شود و توضیح «پلیمریزاسیون حلقه‌ای» نیز علمی نیست.
